Country Name,Country Code,Series Name,Series Code,2016 [GDP GROWTH|2016],2017 [GDP GROWTH|2017],2018 [GDP GROWTH|2018],2019 [GDP GROWTH|2019],Growth,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,3,1,4,-2,35383028,36296111,37171922,38041757,38928341
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,4,4,2,-3,2876101,2873457,2866376,2854191,2837743
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,1,1,1,-5,40551398,41389174,42228415,43053054,43851043
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2,-7,3,-1,0,55739,55617,55461,55312,55197
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,0,2,2,-12,77295,76997,77008,77146,77265
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3,0,-2,-1,-4,28842482,29816769,30809787,31825299,32866268
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,3,7,3,-16,94520,95425,96282,97115,97928
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2,3,-3,-2,-10,43590368,44044811,44494502,44938712,45376763
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,8,5,8,-8,2936147,2944789,2951741,2957728,2963234
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,0,0,0,104865,105361,105846,106310,106766
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,2,3,2,0,24190907,24601860,24982688,25365745,25687041
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,3,1,-7,8736668,8797566,8840521,8879920,8917205
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3,0,2,2,-4,9757812,9854033,9939771,10024283,10110116
