Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,509,520,494,507,509,,35383028,36296111,37171922,38041757,38928341
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4124,4531,5284,5356,5215,,2876101,2873457,2866376,2854191,2837743
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3946,4110,4154,3976,3310,,40551398,41389174,42228415,43053054,43851043
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,12038,11004,11558,11535,0,,55739,55617,55461,55312,55197
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,37476,38965,41792,40897,0,,77295,76997,77008,77146,77265
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3506,4096,3290,2810,1896,,28842482,29816769,30809787,31825299,32866268
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,15199,15384,16673,17113,14450,,94520,95425,96282,97115,97928
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12790,14613,11633,9912,8442,,43590368,44044811,44494502,44938712,45376763
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3592,3915,4221,4623,4267,,2936147,2944789,2951741,2957728,2963234
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,28452,29351,30253,0,0,,104865,105361,105846,106310,106766
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,49971,54028,57355,55057,51812,,24190907,24601860,24982688,25365745,25687041
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,45277,47309,51453,50122,48105,,8736668,8797566,8840521,8879920,8917205
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,3881,4147,4740,4806,4214,,9757812,9854033,9939771,10024283,10110116
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,31563,32720,33768,34863,28608,,377923,381749,385635,389486,393248
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,22608,23743,23991,23443,0,,1425793,1494077,1569440,1641164,1701583
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1402,1564,1698,1856,1969,,157977151,159685421,161376713,163046173,164689383
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16900,17392,17745,18148,15191,,285798,286229,286640,287021,287371
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5023,5762,6330,6839,6411,,9501534,9498264,9483499,9417849,9398861
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,41984,44089,47555,46414,44594,,11331422,11375158,11427054,11488980,11555997
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4857,4946,5001,5079,4436,,368399,375775,383071,390351,397621
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1087,1137,1241,1220,1291,,10872072,11175192,11485035,11801151,12123198
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,106886,111821,113023,117098,0,,64554,63873,63919,63913,63903
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2931,3287,3243,3316,3122,,736706,745563,754396,763094,771612
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3077,3351,3549,3552,3143,,11031822,11192853,11353140,11513102,11673029
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herz.,BIH,4995,5395,6072,6120,6032,,3386263,3351534,3323929,3300998,3280815
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7244,7893,8280,7971,6711,,2159925,2205076,2254067,2303703,2351625
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8710,9929,9151,8897,6797,,206163056,207833825,209469320,211049519,212559409
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,0,0,0,0,0,,29355,29567,29795,30033,30237
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,27158,28572,31628,31086,27466,,419791,424481,428960,433296,437483
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,7549,8334,9428,9828,9976,,7127822,7075947,7025037,6975761,6927288
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,688,735,813,787,831,,18646350,19193236,19751466,20321383,20903278
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,282,293,272,261,274,,10488002,10827010,11175379,11530577,11890781
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3131,3293,3617,3604,3064,,531140,537499,543764,549936,555988
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1270,1385,1512,1643,1513,,15766290,16009413,16249795,16486542,16718971
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1364,1425,1534,1507,1499,,23926549,24566070,25216261,25876387,26545864
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,42316,45129,46455,46327,43242,,36109487,36545295,37065178,37593384,38005238
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,78472,81513,86060,91393,0,,62564,63382,64172,64948,65720
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Rep.,CAF,402,451,476,468,477,,4537683,4596023,4666375,4745179,4829764
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,693,666,726,710,614,,14561658,15016761,15477727,15946882,16425859
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,0,0,0,0,0,,166922,168666,170496,172264,173859
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,13754,14999,15888,14742,13232,,18209072,18470435,18729166,18952035,19116209
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,8148,8879,9977,10217,10500,,1378665000,1386395000,1392730000,1397715000,1402112000
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,5871,6377,6730,6425,5333,,48175048,48909844,49661056,50339443,50882884
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1273,1324,1416,1370,1403,,795597,813890,832322,850891,869595
GDP per capita (current US$),NY.GDP.PCAP.CD,Dem. Rep. Congo,COD,471,467,557,581,557,,78789130,81398765,84068092,86790568,89561404
GDP per capita (current US$),NY.GDP.PCAP.CD,Congo,COG,2039,2174,2601,2359,1973,,4980996,5110701,5244363,5380504,5518092
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12011,12226,12469,12670,12077,,4899336,4949955,4999443,5047561,5094114
GDP per capita (current US$),NY.GDP.PCAP.CD,Côte d'Ivoire,CIV,2013,2111,2314,2276,2326,,23822726,24437475,25069226,25716554,26378275
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,12361,13452,15014,14944,13828,,4174349,4124531,4087843,4065253,4047200
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,8061,8541,8824,9100,0,,11335108,11339255,11338146,11333484,11326616
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,19555,19458,19631,19701,0,,159664,160175,159336,157441,155014
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,24606,26444,29089,28288,26624,,1170189,1179685,1189262,1198574,1207361
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,18575,20636,23420,23490,22762,,10566332,10594438,10629928,10671870,10698896
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,54664,57610,61599,60213,60909,,5728010,5764980,5793636,5814422,5831404
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,2802,2914,3142,3415,3426,,929117,944100,958923,973557,988002
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,8081,7275,7694,8002,6527,,71307,71460,71626,71808,71991
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Rep.,DOM,7281,7609,8051,8282,7268,,10397738,10513111,10627147,10738957,10847904
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,6060,6214,6296,6223,5600,,16491116,16785356,17084359,17373657,17643060
GDP per capita (current US$),NY.GDP.PCAP.CD,Egypt,EGY,3520,2444,2537,3019,3548,,94447071,96442590,98423602,100388076,102334403
