Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Afghanistan,AFG,34562,34585,34171,34696,33250,35383028,36296111,37171922,38041757,38928341
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Albania,ALB,486614,505580,527464,541230,526342,2876101,2873457,2866376,2854191,2837743
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Algeria,DZA,456473,453048,449372,444291,412298,40551398,41389174,42228415,43053054,43851043
GDP per capita (constant LCU),NY.GDP.PCAP.KN,American Samoa,ASM,11554,10770,11161,11028,0,55739,55617,55461,55312,55197
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Andorra,AND,33271,33516,34043,34668,30476,77295,76997,77008,77146,77265
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Angola,AGO,54852,52981,50246,48339,44917,28842482,29816769,30809787,31825299,32866268
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Antigua and Barbuda,ATG,33587,34315,36373,37270,31056,94520,95425,96282,97115,97928
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Argentina,ARG,16207,16492,15907,15421,13759,43590368,44044811,44494502,44938712,45376763
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Armenia,ARM,1608042,1723572,1808928,1942466,1791504,2936147,2944789,2951741,2957728,2963234
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Aruba,ABW,34073,34591,0,0,0,104865,105361,105846,106310,106766
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Australia,AUS,75023,75467,76508,76981,75802,24190907,24601860,24982688,25365745,25687041
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Austria,AUT,40189,40869,41719,42123,39183,8736668,8797566,8840521,8879920,8917205
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Azerbaijan,AZE,2942,2918,2936,2984,2831,9757812,9854033,9939771,10024283,10110116
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Bahamas, The",BHS,28366,28957,29532,29596,24542,377923,381749,385635,389486,393248
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bahrain,BHR,8375,8335,8071,7872,7151,1425793,1494077,1569440,1641164,1701583
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bangladesh,BGD,55928,59360,63357,67821,68739,157977151,159685421,161376713,163046173,164689383
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Barbados,BRB,32404,32509,32274,32200,26499,285798,286229,286640,287021,287371
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belarus,BLR,7950,8154,8424,8601,8541,9501534,9498264,9483499,9417849,9398861
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belgium,BEL,37240,37698,38198,38670,36030,11331422,11375158,11427054,11488980,11555997
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belize,BLZ,7349,7335,7405,7394,6240,368399,375775,383071,390351,397621
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Benin,BEN,639958,657910,683035,710377,718121,10872072,11175192,11485035,11801151,12123198
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bermuda,BMU,96563,101117,100607,101079,0,64554,63873,63919,63913,63903
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bhutan,BTN,85628,88547,90183,94027,86692,736706,745563,754396,763094,771612
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bolivia,BOL,4022,4131,4245,4278,3890,11031822,11192853,11353140,11513102,11673029
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bosnia and Herz.,BIH,8709,9078,9496,9832,9465,3386263,3351534,3323929,3300998,3280815
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Botswana,BWA,41570,41901,42826,43171,38954,2159925,2205076,2254067,2303703,2351625
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,19291,19389,19581,19709,18774,206163056,207833825,209469320,211049519,212559409
GDP per capita (constant LCU),NY.GDP.PCAP.KN,British Virgin Islands,VGB,0,0,0,0,0,29355,29567,29795,30033,30237
