Country Name,Country Code,GDP per capita (current US$)(2020),"Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)"
World,WLD,10926,7752840547,6
High income,HIC,43834,1214930230,7
Middle income,MIC,5207,5844325339,7
Africa Eastern and Southern,AFE,1327,677243299,7
Africa Western and Central,AFW,1714,458803476,6
Arab World,ARB,5802,436080728,11
Caribbean small states,CSS,9193,7442291,10
Central Europe and the Baltics,CEB,16082,102246330,5
East Asia & Pacific (excluding high income),EAP,8292,2105003391,4
East Asia & Pacific (IDA & IBRD countries),TEA,8379,2079198305,4
Euro area,EMU,37712,342949773,8
Europe & Central Asia,ECS,23780,923489941,7
Europe & Central Asia (excluding high income),ECA,7657,420249459,8
Europe & Central Asia (IDA & IBRD countries),TEC,8368,462247461,8
European Union,EUU,33928,447794691,7
Late-demographic dividend,LTE,9758,2307887395,6
Latin America & Caribbean,LCN,7417,652276325,10
Latin America & Caribbean (excluding high income),LAC,6733,595242966,10
Latin America & the Caribbean (IDA & IBRD countries),TLA,7245,636492840,10
Low & middle income,LMY,4759,6509474374,6
Low income,LIC,822,665149035,5
Lower middle income,LMC,2200,3330652547,6
Middle East & North Africa,MEA,6670,464554123,11
Middle East & North Africa (excluding high income),MNA,3066,396147843,12
Middle East & North Africa (IDA & IBRD countries),TMN,3063,391344574,12
North America,NAC,61453,367553264,8
OECD members,OED,37976,1370858752,7
Other small states,OSS,11822,31941786,10
Pacific island small states,PSS,3626,2528958,3
Post-demographic dividend,PST,44218,1115116448,7
Pre-demographic dividend,PRE,1342,970795671,6
Small states,SST,10864,41913035,10
South Asia,SAS,1805,1856882402,7
South Asia (IDA & IBRD),TSA,1805,1856882402,7
Sub-Saharan Africa,SSF,1484,1136046775,7
Sub-Saharan Africa (excluding high income),SSA,1483,1135948313,7
Sub-Saharan Africa (IDA & IBRD countries),TSS,1484,1136046775,7
Upper middle income,UMC,9192,2513672792,7
Early-demographic dividend,EAR,3255,3332105361,7
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/15/2021,,,,
