Series Name,Country,Country Code,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,,Series Name,Continent(Population),Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],,Series Name,Continent,Country Code,GDP per capita (2016),GDP per capita (2017),GDP per capita (2018),GDP per capita (2019),GDP per capita (2020),,,,Series Name,Country Name(Population),Country Code,Population_2016 ,Population_2017,Population_2018,Population_2019,Population_2020
GDP per capita (current US$),Afghanistan,AFG,509,520,494,507,509,,"Population, total",Africa Eastern and Southern,AFE,609978946.00,626392880.00,643090131.00,660046272.00,677243299.00,,GDP per capita (current US$),Africa Eastern and Southern,AFE,1401,1536,1530,1481,1327,,,,"Population, total",Afghanistan,AFG,35383028.00,36296111.00,37171922.00,38041757.00,38928341.00
GDP per capita (current US$),Albania,ALB,4124,4531,5284,5356,5215,,"Population, total",Africa Western and Central,AFW,412551299.00,423769930.00,435229381.00,446911598.00,458803476.00,,GDP per capita (current US$),Africa Western and Central,AFW,1666,1607,1696,1772,1714,,,,"Population, total",Albania,ALB,2876101.00,2873457.00,2866376.00,2854191.00,2837743.00
GDP per capita (current US$),Algeria,DZA,3946,4110,4154,3976,3310,,"Population, total",Central Europe and the Baltics,CEB,102994278.00,102740078.00,102538451.00,102398537.00,102246330.00,,GDP per capita (current US$),Central Europe and the Baltics,CEB,12822,14238,16035,16294,16082,,,,"Population, total",Algeria,DZA,40551398.00,41389174.00,42228415.00,43053054.00,43851043.00
GDP per capita (current US$),American Samoa,ASM,12038,11004,11558,11535,0,,"Population, total",East Asia & Pacific,EAS,2298500738.00,2314112848.00,2328193462.00,2340673749.00,2352037717.00,,GDP per capita (current US$),East Asia & Pacific,EAS,9856,10468,11319,11500,0,,,,"Population, total",American Samoa,ASM,55739.00,55617.00,55461.00,55312.00,55197.00
GDP per capita (current US$),Andorra,AND,37476,38965,41792,40897,0,,"Population, total",Europe & Central Asia,ECS,910910900.00,914655081.00,918082509.00,920809471.00,923489941.00,,GDP per capita (current US$),Europe & Central Asia,ECS,22405,23617,25222,24791,23780,,,,"Population, total",Andorra,AND,77295.00,76997.00,77008.00,77146.00,77265.00
GDP per capita (current US$),Angola,AGO,3506,4096,3290,2810,1896,,"Population, total",European Union,EUU,445487730.00,446186344.00,446915113.00,447196538.00,447794691.00,,GDP per capita (current US$),European Union,EUU,31165,33009,35704,34960,33928,,,,"Population, total",Angola,AGO,28842482.00,29816769.00,30809787.00,31825299.00,32866268.00
GDP per capita (current US$),Antigua and Barbuda,ATG,15199,15384,16673,17113,14450,,"Population, total",Latin America & Caribbean,LCN,628493594.00,634566052.00,640483586.00,646430786.00,652276325.00,,GDP per capita (current US$),Latin America & Caribbean,LCN,8601,9461,9158,8952,7417,,,,"Population, total",Antigua and Barbuda,ATG,94520.00,95425.00,96282.00,97115.00,97928.00
GDP per capita (current US$),Argentina,ARG,12790,14613,11633,9912,8442,,"Population, total",Middle East & North Africa,MEA,433616042.00,441298977.00,448974232.00,456709496.00,464554123.00,,GDP per capita (current US$),Middle East & North Africa,MEA,7257,7403,7547,7512,6670,,,,"Population, total",Argentina,ARG,43590368.00,44044811.00,44494502.00,44938712.00,45376763.00
GDP per capita (current US$),Armenia,ARM,3592,3915,4221,4623,4267,,"Population, total",North America,NAC,359245796.00,361731296.00,363967296.00,365987250.00,367553264.00,,GDP per capita (current US$),North America,NAC,56452,58605,61382,63342,61453,,,,"Population, total",Armenia,ARM,2936147.00,2944789.00,2951741.00,2957728.00,2963234.00
GDP per capita (current US$),Aruba,ABW,28452,29351,30253,0,0,,"Population, total",Pacific island small states,PSS,2385744.00,2419767.00,2455336.00,2491878.00,2528958.00,,GDP per capita (current US$),Pacific island small states,PSS,3962,4221,4337,4269,3626,,,,"Population, total",Aruba,ABW,104865.00,105361.00,105846.00,106310.00,106766.00
