Region,Year,GDPPC
Africa ,2000,860
Africa ,2001,814
Africa ,2002,812
Africa ,2003,947
Africa ,2004,1108
Africa ,2005,1273
Africa ,2006,1437
Africa ,2007,1638
Africa ,2008,1867
Africa ,2009,1727
Africa ,2010,1975
Africa ,2011,2150
Africa ,2012,2236
Africa ,2013,2256
Africa ,2014,2276
Africa ,2015,2021
Africa ,2016,1875
Africa ,2017,1841
Africa ,2018,1916
Africa ,2019,1923
Africa ,2020,1813
Asia and Pacific,2000,2650
Asia and Pacific,2001,2441
Asia and Pacific,2002,2464
Asia and Pacific,2003,2717
Asia and Pacific,2004,3032
Asia and Pacific,2005,3242
Asia and Pacific,2006,3432
Asia and Pacific,2007,3882
Asia and Pacific,2008,4344
Asia and Pacific,2009,4421
Asia and Pacific,2010,5114
Asia and Pacific,2011,5824
Asia and Pacific,2012,6128
Asia and Pacific,2013,6162
Asia and Pacific,2014,6327
Asia and Pacific,2015,6216
Asia and Pacific,2016,6409
Asia and Pacific,2017,6809
Asia and Pacific,2018,7242
Asia and Pacific,2019,7378
Asia and Pacific,2020,7300
Australia and New Zealand,2000,19705
Australia and New Zealand,2001,18469
Australia and New Zealand,2002,20651
Australia and New Zealand,2003,26076
Australia and New Zealand,2004,31420
Australia and New Zealand,2005,34656
Australia and New Zealand,2006,35908
Australia and New Zealand,2007,42893
Australia and New Zealand,2008,46269
Australia and New Zealand,2009,42822
Australia and New Zealand,2010,52672
Australia and New Zealand,2011,62457
Australia and New Zealand,2012,63806
Australia and New Zealand,2013,61472
Australia and New Zealand,2014,58861
Australia and New Zealand,2015,49341
Australia and New Zealand,2016,49894
Australia and New Zealand,2017,53704
Australia and New Zealand,2018,54238
Australia and New Zealand,2019,52456
Australia and New Zealand,2020,50893
Caribbean,2000,2952
Caribbean,2001,2939
Caribbean,2002,3012
Caribbean,2003,3083
Caribbean,2004,3363
Caribbean,2005,3754
Caribbean,2006,4049
Caribbean,2007,4522
Caribbean,2008,5052
Caribbean,2009,4372
Caribbean,2010,4642
Caribbean,2011,4989
Caribbean,2012,5112
Caribbean,2013,5185
Caribbean,2014,5208
Caribbean,2015,5069
Caribbean,2016,4768
Caribbean,2017,4861
Caribbean,2018,5101
Caribbean,2019,5041
Caribbean,2020,4472
Central America,2000,2120
Central America,2001,2193
Central America,2002,2271
Central America,2003,2184
Central America,2004,2295
Central America,2005,2704
Central America,2006,2916
Central America,2007,3267
Central America,2008,3620
Central America,2009,3562
Central America,2010,3903
Central America,2011,4307
Central America,2012,4576
Central America,2013,4782
Central America,2014,5026
Central America,2015,5306
Central America,2016,5520
Central America,2017,5761
Central America,2018,5897
Central America,2019,6014
Central America,2020,5442
Central Asia and the Caucasus,2000,2420
Central Asia and the Caucasus,2001,NA
Central Asia and the Caucasus,2002,1946
Central Asia and the Caucasus,2003,2467
Central Asia and the Caucasus,2004,3156
Central Asia and the Caucasus,2005,3880
Central Asia and the Caucasus,2006,4384
Central Asia and the Caucasus,2007,5394
